Computerkey,PrincipalNm,DeviceId,ProcessorNM,SpeedDesc,LogicalProcessorsNbr,ManufacturerNm,CPUKey
135,STRDS5101.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
135,STRDS5101.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
135,STRDS5101.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
135,STRDS5101.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176,2300,4,AuthenticAMD,1
417,STRVW5313.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,2
417,STRVW5313.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,2
867,STRWS5105.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
867,STRWS5105.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
867,STRWS5105.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
867,STRWS5105.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2300,4,AuthenticAMD,3
1014,BG6RS2202.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,0,AuthenticAMD,3
1208,STRWS5106.odd.svc.company.com,,,-1,4,,
1208,STRWS5106.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,4
1208,STRWS5106.odd.svc.company.com,CPU3,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,4
1208,STRWS5106.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,4
1208,STRWS5106.odd.svc.company.com,CPU2,AMD Opteron(tm) Processor 6176 SE,2200,4,AuthenticAMD,4
1256,BG6RS2201.odd.svc.company.com,CPU0,AMD Opteron(tm) Processor 6176 SE,2300,0,AuthenticAMD,3
1332,STRVW5312.odd.svc.company.com,CPU1,AMD Opteron(tm) Processor 6134,2300,2,AuthenticAMD,2
