Computerkey,PrincipalNm,VolumeNm,LogicalDiskNm,LogicalDiskDesc,DeviceId,LogicalDiskSizeNbr
135,STRDS5101.odd.svc.company.com,,D:,Local Fixed Disk,D:,61436
135,STRDS5101.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
135,STRDS5101.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61436
135,STRDS5101.odd.svc.company.com,,D:\Data\RSTemp,Mounted Disk,D:\Data\RSTemp,NULL
135,STRDS5101.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
135,STRDS5101.odd.svc.company.com,,D:\Data\RSDB,Mounted Disk,D:\Data\RSDB,NULL
135,STRDS5101.odd.svc.company.com,,D:\Temp,Mounted Disk,D:\Temp,NULL
135,STRDS5101.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
417,STRVW5313.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
417,STRVW5313.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,40958
417,STRVW5313.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,40957
782,BG6DS1210.odd.svc.company.com,,E:,RAM Disk,E:,61437
782,BG6DS1210.odd.svc.company.com,,D:\Data\Databases,Mounted Disk,D:\Data\Databases,NULL
782,BG6DS1210.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
782,BG6DS1210.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
867,STRWS5105.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
867,STRWS5105.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,81917
867,STRWS5105.odd.svc.company.com,,D:,Local Fixed Disk,D:,30716
1014,BG6RS2202.odd.svc.company.com,,C:,Local Fixed Disk,C:,20481
1014,BG6RS2202.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,10236
1014,BG6RS2202.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
1014,BG6RS2202.odd.svc.company.com,,E:,CD-ROM Disc,E:,NULL
1208,STRWS5106.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,81917
1208,STRWS5106.odd.svc.company.com,,,,,-1
1208,STRWS5106.odd.svc.company.com,,D:,Local Fixed Disk,D:,30716
1208,STRWS5106.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
1256,BG6RS2201.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
