Computerkey,PrincipalNm,ModelNm,DisplayNm,MediaTypeDesc,DeviceId,PhysicalDiskNm,PhysicalDiskSizeNbr,DiskID
72,CTCVW5303.odd.svc.company.com,DELL PERC H710 SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,139384,1
72,CTCVW5303.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,20496,2
289,VRTVA2474.odd.svc.company.com,AVOCENT vmDisk USB Device,PHYSICALDRIVE2,,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,NULL,3
289,VRTVA2474.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,102398,4
366,VRTVW2370.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE57,Fixed hard disk media,\\.\PHYSICALDRIVE57,\\.\PHYSICALDRIVE57,81917,5
366,VRTVW2370.odd.svc.company.com,DELL PERC 5/i SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,571131,6
417,STRVW5313.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,81917,7
417,STRVW5313.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE4,Fixed hard disk media,\\.\PHYSICALDRIVE4,\\.\PHYSICALDRIVE4,1024,8
522,VRTVA0556.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,10236,9
522,VRTVA0556.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,51199,10
584,CTCVW5302.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,20473,11
584,CTCVW5302.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,131069,12
